Year,Month,Deaths
2018,1,3010
2018,2,2734
2018,3,3015
2018,4,2979
2018,5,3443
2018,6,3514
2018,7,3552
2018,8,3490
2018,9,3579
2018,10,3657
2018,11,3250
2018,12,3181
2019,1,2948
2019,2,2535
2019,3,2956
2019,4,3079
2019,5,3417
2019,6,3449
2019,7,3527
2019,8,3645
2019,9,3543
2019,10,3506
2019,11,3274
2019,12,3228
2020,1,2895
2020,2,2883
2020,3,2850
2020,4,2555
2020,5,3346
2020,6,4004
2020,7,4078
2020,8,4199
2020,9,4053
2020,10,4169
2020,11,3757
2020,12,3550
2021,1,3414
2021,2,2792
2021,3,3492
2021,4,3868
2021,5,4098
2021,6,4107
2021,7,4240
2021,8,4320
2021,9,4276
2021,10,4482
2021,11,3977
2021,12,3914
2022,1,3520
2022,2,3250
2022,3,3700
2022,4,3470
2022,5,4020
2022,6,3910
2022,7,4190
2022,8,4040
2022,9,4200
2022,10,4260
2022,11,3740
2022,12,3970
2023,1,3300
2023,2,3050
2023,3,3300
2023,4,3610
2023,5,3890
2023,6,3780
2023,7,4070
2023,8,3980
2023,9,4020
2023,10,4130
2023,11,3580
2023,12,3740
